420606005217, CLARION AREA EL SCH, 800 BOUNDARY ST, CLARION, PA 16214, (814) 226-8118, ξξ-ξξCLARION COUNTY COUNTY, Public, PK,6,,,
240048000875, MILL CREEK TOWNE ELEMENTARY, 17700 PARK MILL DR, ROCKVILLE, MD 20855, (301) 840-7149, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048001635, PEP - ITINERANT, 7361 CALHOUN PL RM 400, ROCKVILLE, MD 20855, (301) 279-2016, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, N ,N ,,,
240048000901, REDLAND MIDDLE, 6505 MUNCASTER MILL RD, ROCKVILLE, MD 20855, (301) 840-4680, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048090456, SEQUOYAH ELEMENTARY, 17301 BOWIE MILL RD, DERWOOD, MD 20855, (301) 840-5335, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
A9701745, CAMP OLYMPIA COUNTRY DAY SCHOOL, 5511 MUNCASTER MILL RD, ROCKVILLE, MD 20855, (301) 926-9281, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A9701834, THE MANOR MONTESSORI SCHOOL, PO BOX 60691, POTOMAC, MD 20859, (301) 299-7400, ξξ-ξξMONTGOMERY COUNTY, Private, PK,2,,,
240048000920, SHERWOOD ELEMENTARY, 1401 OLNEY-SANDY SPRING RD, SANDY SPRING, MD 20860, (301) 924-3195, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000921, SHERWOOD HIGH, 300 OLNEY-SANDY SPRING RD, SANDY SPRING, MD 20860, (301) 924-3200, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
579539, SANDY SPRING FRIENDS SCHOOL, 16923 NORWOOD RD, SANDY SPRING, MD 20860, (301) 774-7455, ξξ-ξξMONTGOMERY COUNTY, Private, PK,12,,,
2032245, MATER AMORIS SCHOOL, PO BOX 97, ASHTON, MD 20861, (301) 774-7468, ξξ-ξξMONTGOMERY COUNTY, Private, Ungraded,Ungraded,,,
240048000783, BENJAMIN BANNEKER MIDDLE, 14800 PERRYWOOD DR, BURTONSVILLE, MD 20866, (301) 989-5747, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048000794, BURTONSVILLE ELEMENTARY, 15516 OLD COLUMBIA PIKE, BURTONSVILLE, MD 20866, (301) 989-5654, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048000890, PAINT BRANCH HIGH, 14121 OLD COLUMBIA PIKE, BURTONSVILLE, MD 20866, (301) 989-5600, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
A9902187, CHILDWAY, 4058 BLACKBURN LN, BURTONSVILLE, MD 20866, (301) 384-5753, ξξ-ξξMONTGOMERY COUNTY, Private, KG,KG,,,
240048000804, CLARKSBURG ELEMENTARY, 13530 REDGRAVE PL, CLARKSBURG, MD 20871, (301) 353-8060, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048001541, CLARKSBURG HIGH, 22500 WIMS RD, CLARKSBURG, MD 20871, (301) 444-3000, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
240048001543, LITTLE BENNETT ELEMENTARY, 23930 BURDETTE FOREST RD, CLARKSBURG, MD 20871, (301) 540-5535, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048000660, ROCKY HILL MIDDLE, 22401 BRICK HAVEN WAY, CLARKSBURG, MD 20871, (301) 353-8282, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048001514, CLEARSPRING ELEMENTARY, 9930 MOYER RD, DAMASCUS, MD 20872, (301) 253-7004, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000815, DAMASCUS ELEMENTARY, 10201 BETHESDA CHURCH RD, DAMASCUS, MD 20872, (301) 253-7080, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048001455, DAMASCUS HIGH, 25921 RIDGE RD, DAMASCUS, MD 20872, (301) 253-7030, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
240048001456, JOHN T. BAKER MIDDLE SCHOOL, 25400 OAK DR, DAMASCUS, MD 20872, (301) 253-7010, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048000185, LOIS P. ROCKWELL ELEMENTARY, 24555 CUTSAIL DR, DAMASCUS, MD 20872, (301) 253-7088, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048001494, CLOPPER MILL ELEMENTARY, 18501 CINNAMON DR, GERMANTOWN, MD 20874, (301) 353-8065, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000843, GERMANTOWN ELEMENTARY, 19110 LIBERTY MILL RD, GERMANTOWN, MD 20874, (301) 353-8050, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048001567, GREAT SENECA CREEK ELEMENTARY, 13010 DAIRYMAID DR, GERMANTOWN, MD 20874, (301) 353-8500, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000863, KINGSVIEW MIDDLE, 18909 KINGSVIEW RD, GERMANTOWN, MD 20874, (301) 601-4611, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048001448, LAKE SENECA ELEMENTARY, 13600 WANEGARDEN DR, GERMANTOWN, MD 20874, (301) 353-0929, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000867, LONGVIEW SCHOOL, 13900 BROMFIELD RD, GERMANTOWN, MD 20874, (301) 601-4830, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,12,,,
240048001417, MARTIN LUTHER KING JR. MIDDLE, 13737 WISTERIA DR, GERMANTOWN, MD 20874, (301) 353-8080, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048001040, NORTHWEST HIGH, 13501 RICHTER FARM RD, GERMANTOWN, MD 20874, (301) 601-4660, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
240048000493, ROBERTO W. CLEMENTE MIDDLE, 18808 WARING STATION RD, GERMANTOWN, MD 20874, (301) 601-0344, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048090455, RONALD A. MCNAIR ELEMENTARY, 13881 HOPKINS RD, GERMANTOWN, MD 20874, (301) 353-0854, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000502, S. CHRISTA MCAULIFFE ELEMENTARY, 12500 WISTERIA DR, GERMANTOWN, MD 20874, (301) 353-0910, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000918, SENECA VALLEY HIGH, 19401 CRYSTAL ROCK DR, GERMANTOWN, MD 20874, (301) 353-8000, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
240048001181, SPARK M. MATSUNAGA ELEMENTARY SCHOOL, 13902 BROMFIELD RD, GERMANTOWN, MD 20874, (301) 601-4350, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048001508, WATERS LANDING ELEMENTARY, 13100 WATERS LANDING DR, GERMANTOWN, MD 20874, (301) 353-0915, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
K9302752, BUTLER SCHOOL, 15951 GERMANTOWN RD, GERMANTOWN, MD 20874, (301) 977-6600, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A0701177, COVENANT CHRISTIAN SCHOOL, 18901 WARING STATION RD, GERMANTOWN, MD 20874, (301) 444-0250, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A9701835, MARY OF NAZARETH SCHOOL, 14131 SENECA RD, DARNESTOWN, MD 20874, (301) 869-0940, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
A9103175, SENECA ACADEMY, 15601 GERMANTOWN RD, DARNESTOWN, MD 20874, (301) 869-3728, ξξ-ξξMONTGOMERY COUNTY, Private, PK,6,,,
240048001523, CAPTAIN JAMES E. DALY ELEMENTARY, 20301 BRANDERMILL DR, GERMANTOWN, MD 20876, (301) 353-0939, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000801, CEDAR GROVE ELEMENTARY, 24001 RIDGE RD, GERMANTOWN, MD 20876, (301) 253-7000, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048000191, DR. SALLY K. RIDE ELEMENTARY, 21301 SENECA CROSSING DR, GERMANTOWN, MD 20876, (301) 353-0994, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000834, FOX CHAPEL ELEMENTARY, 19315 ARCHDALE RD, GERMANTOWN, MD 20876, (301) 353-8055, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000759, NEELSVILLE MIDDLE, 11700 NEELSVILLE CHURCH RD, GERMANTOWN, MD 20876, (301) 353-8064, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048001673, WILLIAM B. GIBBS, JR., 12615 ROYAL CROWN DRIVE, GERMANTOWN, MD 20876, (301) 353-0800, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,
240048000644, FOREST OAK MIDDLE, 651 SAYBROOKE OAKS BLVD, GAITHERSBURG, MD 20877, (301) 670-8242, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048000836, GAITHERSBURG ELEMENTARY, 35 N SUMMIT AVE, GAITHERSBURG, MD 20877, (301) 840-7136, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000838, GAITHERSBURG HIGH, 314 S FREDERICK AVE, GAITHERSBURG, MD 20877, (301) 840-4700, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
240048000837, GAITHERSBURG MIDDLE, 2 TEACHERS' WAY, GAITHERSBURG, MD 20877, (301) 840-4554, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048000916, ROSEMONT ELEMENTARY, 16400 ALDEN AVE, GAITHERSBURG, MD 20877, (301) 840-7123, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048001127, SHADY GROVE MIDDLE, 8100 MIDCOUNTY HGWY, GAITHERSBURG, MD 20877, (301) 548-7540, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048000924, SOUTH LAKE ELEMENTARY, 18201 CONTOUR RD, GAITHERSBURG, MD 20877, (301) 840-7141, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000931, SUMMIT HALL ELEMENTARY, 101 W DEER PARK RD, GAITHERSBURG, MD 20877, (301) 840-7127, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000943, WASHINGTON GROVE ELEMENTARY, 8712 OAKMONT ST, GAITHERSBURG, MD 20877, (301) 840-7120, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
A0501793, AVALON SCHOOL, 200 W DIAMOND AVE, GAITHERSBURG, MD 20877, (301) 963-8022, ξξ-ξξMONTGOMERY COUNTY, Private,2,12,,,
A9502050, COVENANT LIFE SCHOOL, 7503 MUNCASTER MILL RD, GAITHERSBURG, MD 20877, (301) 869-4500, ξξ-ξξMONTGOMERY COUNTY, Private, KG,12,,,
K9302754, EPWORTH PRESCHOOL & KINDERGARTEN9008,  ROSEMONT DR, GAITHERSBURG, MD 20877, (301) 977-3421, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A0901672, FORBUSH SCHOOL AT OAKMONT UPPER SCHOOL THE, 610 E DIAMOND AVE STE E, GAITHERSBURG, MD 20877, (301) 330-4359, ξξ-ξξMONTGOMERY COUNTY, Private, Ungraded,Ungraded,,,
K9302765, GAITHERSBURG PRESBYTERIAN PRESCHOOL & KDGN610 , S FREDERICK AVE, GAITHERSBURG, MD 20877, (301) 977-5787, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A0901727, MARCIA D SMITH SCHOOL, 9075 COMPRINT CT, GAITHERSBURG, MD 20877, (301) 926-2300, ξξ-ξξMONTGOMERY COUNTY, Private,12,12,,,
1604952, ST MARTIN OF TOURS SCHOOL, 115 S FREDERICK AVE, GAITHERSBURG, MD 20877, (301) 990-2441, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
A0701185, THE FOUNDATION SCHOOL OF MONTGOMERY COUNTY, 220 GIRARD ST, GAITHERSBURG, MD 20877, (301) 740-7807, ξξ-ξξMONTGOMERY COUNTY, Private,7,12,,,
A9103197, THE JEFFERSON SCHOOL, 8507 EMORY GROVE RD, GAITHERSBURG, MD 20877, (301) 840-8448, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A0901795, YANG ACADEMY, 111 CENTRAL AVE, GAITHERSBURG, MD 20877, (301) 208-8821, ξξ-ξξMONTGOMERY COUNTY, Private,3,10,,,
240048000792, BROWN STATION ELEMENTARY, 851 QUINCE ORCHARD BLVD, GAITHERSBURG, MD 20878, (301) 840-7172, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000817, DARNESTOWN ELEMENTARY, 15030 TURKEY FOOT RD, GAITHERSBURG, MD 20878, (301) 840-7157, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048000818, DIAMOND ELEMENTARY, 4 MARQUIS DR, GAITHERSBURG, MD 20878, (301) 840-7177, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048000819, DUFIEF ELEMENTARY, 15001 DUFIEF DR, GAITHERSBURG, MD 20878, (301) 279-4980, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000829, FIELDS ROAD ELEMENTARY, 1 SCHOOL DR, GAITHERSBURG, MD 20878, (301) 840-7131, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000503, JONES LANE ELEMENTARY, 15110 JONES LN, GAITHERSBURG, MD 20878, (301) 840-8160, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048001441, LAKELANDS PARK MIDDLE, 1200 MAIN ST, GAITHERSBURG, MD 20878, (301) 670-1400, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048001509, QUINCE ORCHARD HIGH, 15800 QUINCE ORCHARD RD, GAITHERSBURG, MD 20878, (301) 840-4686, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
240048090454, RACHEL CARSON ELEMENTARY, 100 TSCHIFFELY SQUARE RD, GAITHERSBURG, MD 20878, (301) 840-5333, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000903, RIDGEVIEW MIDDLE, 16600 RAVEN ROCK DR, GAITHERSBURG, MD 20878, (301) 840-4770, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048001513, STONE MILL ELEMENTARY, 14323 STONEBRIDGE VIEW DR, NORTH POTOMAC, MD 20878, (301) 279-4975, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000404, THURGOOD MARSHALL ELEMENTARY, 12260 MCDONALD CHAPEL DR, GAITHERSBURG, MD 20878, (301) 670-8282, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000937, TRAVILAH ELEMENTARY, 13801 DUFIEF MILL RD, NORTH POTOMAC, MD 20878, (301) 840-7153, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
A0901650, CHILDRENS TOWNE ACADEMY, 12172 HIDDEN BROOK TER, NORTH POTOMAC, MD 20878, (301) 349-5500, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A0301729, GEORGETOWN HILL EARLY SCHOOL, 15120 TURKEY FOOT RD, GAITHERSBURG, MD 20878, (301) 527-1377, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A0901685, GODDARD SCHOOL IN GAITHERSBURG THE, 900 WIND RIVER LN, GAITHERSBURG, MD 20878, (301) 208-8787, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A0901781, THOMAS JEFFERSON PREPARATORY SCHOOL, 12801 DARNESTOWN RD, DARNESTOWN, MD 20878, (301) 330-7550, ξξ-ξξMONTGOMERY COUNTY, Private,1,8,,,
240048001454, FLOWER HILL ELEMENTARY, 18425 FLOWER HILL WAY, GAITHERSBURG, MD 20879, (301) 840-7161, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048090479, JUDITH A. RESNIK ELEMENTARY, 7301 HADLEY FARMS DRIVE, GAITHERSBURG, MD 20879, (301) 670-8200, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048001512, STRAWBERRY KNOLL ELEMENTARY, 18820 STRAWBERRY KNOLL RD, GAITHERSBURG, MD 20879, (301) 840-7112, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000953, WHETSTONE ELEMENTARY, 19201 THOMAS FARM RD, GAITHERSBURG, MD 20879, (301) 840-7191, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
K9302753, CHURCH OF THE REDEEMER CHRISTIAN SCHOOL, 19425 WOODFIELD RD, GAITHERSBURG, MD 20879, (240) 238-1500, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
A9103237, MOTHER OF GOD SCHOOL, 20501 GOSHEN RD, GAITHERSBURG, MD 20879, (301) 990-2088, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
A0701235, QUALITY CARE NURSERY & DAY SCHOOL8041,  CESSNA AVE STE 232, GAITHERSBURG, MD 20879, (301) 519-8775, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
240048001511, GOSHEN ELEMENTARY, 8701 WARFIELD RD, GAITHERSBURG, MD 20882, (301) 840-8165, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000864, LAYTONSVILLE ELEMENTARY, 21401 LAYTONSVILLE RD, GAITHERSBURG, MD 20882, (301) 840-7145, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048000959, WOODFIELD ELEMENTARY, 24200 WOODFIELD RD, GAITHERSBURG, MD 20882, (301) 253-7085, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048000879, MONTGOMERY VILLAGE MIDDLE SCHOOL, 19300 WATKINS MILL RD, MONTGOMERY VILLAGE, MD 20886, (301) 840-4660, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048000927, STEDWICK ELEMENTARY, 10631 STEDWICK RD, MONTGOMERY VILLAGE, MD 20886, (301) 840-7187, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000944, WATKINS MILL ELEMENTARY, 19001 WATKINS MILL RD, MONTGOMERY VILLAGE, MD 20886, (301) 840-7181, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048001525, WATKINS MILL HIGH, 10301 APPLE RIDGE RD, MONTGOMERY VILLAGE, MD 20886, (301) 840-3959, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
A0901723, LIVING GRACE CHRISTIAN SCHOOL, 20300 PLEASANT RIDGE DR, MONTGOMERY VILLAGE, MD 20886, (301) 840-9830, ξξ-ξξMONTGOMERY COUNTY, Private, KG,7,,,
A9103312, VILLAGE MONTESSORI SCHOOL INC, 20301 FULKS FARM RD, MONTGOMERY VILLAGE, MD 20886, (301) 977-5766, ξξ-ξξMONTGOMERY COUNTY, Private, PK,2,,,
240048000773, ALBERT EINSTEIN HIGH, 11135 NEWPORT MILL RD, KENSINGTON, MD 20895, (301) 929-2200, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
240048000892, KENSINGTON PARKWOOD ELEMENTARY, 4710 SAUL RD, KENSINGTON, MD 20895, (301) 571-6949, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,5,,,
240048001207, NEWPORT MILL MIDDLE, 11311 NEWPORT MILL RD, KENSINGTON, MD 20895, (301) 929-2244, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048000908, ROCK VIEW ELEMENTARY, 3901 DENFELD AVE, KENSINGTON, MD 20895, (301) 929-2002, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000496, STEPHEN KNOLLS SCHOOL, 10731 ST. MARGARET'S WAY, KENSINGTON, MD 20895, (301) 929-2151, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,1,12,,,
1604497, ACADEMY OF THE HOLY CROSS, 4920 STRATHMORE AVE, KENSINGTON, MD 20895, (301) 942-2100, ξξ-ξξMONTGOMERY COUNTY, Private,9,12,,,
A0901645, BROOKEWOOD SCHOOL, 10401 ARMORY AVE, KENSINGTON, MD 20895, (301) 949-7997, ξξ-ξξMONTGOMERY COUNTY, Private,1,12,,,
A0307468, CROSSWAY COMMUNITY MONTESSORI SCHOOL, 3015 UPTON DR, KENSINGTON, MD 20895, (301) 929-2505, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A0901688, GRACE EPISCOPAL DAY SCHOOL, 9411 CONNECTICUT AVE, KENSINGTON, MD 20895, (301) 949-5860, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
1604522, HOLY REDEEMER CATHOLIC ELEMENTARY SCHOOL, 9715 SUMMIT AVE, KENSINGTON, MD 20895, (301) 942-3701, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
1604511, HOLY CROSS SCHOOL, PO BOX 249, GARRETT PARK, MD 20896, (301) 949-0053, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
A9701848, NIST CHILD CARE CENTER, 100 BUREAU DR STOP 1915, GAITHERSBURG, MD 20899, (301) 975-2152, ξξ-ξξMONTGOMERY COUNTY, Private, KG,KG,,,
240048090452, BURNT MILLS ELEMENTARY, 11211 CHILDS ST, SILVER SPRING, MD 20901, (301) 649-8192, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048001457, EASTERN MIDDLE SCHOOL, 300 UNIVERSITY BLVD EAST, SILVER SPRING, MD 20901, (301) 650-6650, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048000832, FOREST KNOLLS ELEMENTARY, 10830 EASTWOOD AVE, SILVER SPRING, MD 20901, (301) 649-8060, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000851, HIGHLAND VIEW ELEMENTARY, 9010 PROVIDENCE AVE, SILVER SPRING, MD 20901, (301) 650-6426, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000877, MONTGOMERY BLAIR HIGH, 51 UNIVERSITY BLVD E, SILVER SPRING, MD 20901, (301) 649-2800, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
240048000878, MONTGOMERY KNOLLS ELEMENTARY, 807 DALEVIEW DR, SILVER SPRING, MD 20901, (301) 431-7667, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,2,,,
240048001366, NORTHWOOD HIGH SCHOOL, 919 UNIVERSITY BLVD W, SILVER SPRING, MD 20901, (301) 649-8088, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
240048000887, OAK VIEW ELEMENTARY, 400 E WAYNE AVE, SILVER SPRING, MD 20901, (301) 650-6434, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,3,5,,,
240048000893, PINE CREST ELEMENTARY, 201 WOODMOOR DR, SILVER SPRING, MD 20901, (301) 649-8066, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,3,5,,,
K9302773, ACORN HILL WALDORF KINDERGARTEN & NURSERY9504,  BRUNETT AVE, SILVER SPRING, MD 20901, (301) 565-2282, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A0901730, MOUNT JEZREEL BAPTIST CHURCH CHRISTIAN SCHOOL, 420 UNIVERSITY BLVD E, SILVER SPRING, MD 20901, (301) 431-2800, ξξ-ξξMONTGOMERY COUNTY, Private, PK,3,,,
A0501859, NATIONAL CHILDREN'S CENTER SCHOOL/MARYLAND SITE, 410 UNIVERSITY BLVD W, SILVER SPRING, MD 20901, (301) 593-0642, ξξ-ξξMONTGOMERY COUNTY, Private, Ungraded,Ungraded,,,
1604704, ST BERNADETTE SCHOOL, 80 UNIVERSITY BLVD E, SILVER SPRING, MD 20901, (301) 593-5611, ξξ-ξξMONTGOMERY COUNTY, Private, KG,8,,,
240048001643, ARCOLA ELEMENTARY, 1820 FRANWALL AVE, SILVER SPRING, MD 20902, (301) 649-8590, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000806, COL. E. BROOKE LEE MIDDLE, 11800 MONTICELLO AVE, SILVER SPRING, MD 20902, (301) 649-8100, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,6,8,,,
240048000844, GLEN HAVEN ELEMENTARY, 10900 INWOOD AVE, SILVER SPRING, MD 20902, (301) 649-8051, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000845, GLENALLAN ELEMENTARY, 12520 HEURICH RD, SILVER SPRING, MD 20902, (301) 929-2014, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
240048000850, HIGHLAND ELEMENTARY, 3100 MEDWAY ST, SILVER SPRING, MD 20902, (301) 929-2040, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, PK,5,,,
